osmid,safety_tag_value,is_lit,polyline6
1059988395,1,0,y~v~rawImpcep_v]jlu`DdmgmBjg_sUxfi{O|garK{e`tChwvp@bbn`@tttzBjhurAj}nsJqngnO|witEczvdHvp{fQ~pbbM~ecjPzxwsMhvnhLtx`kJ
"1416351241,1314166041",4,1,y~v~rawImpcep_v]u`kvBh{cgDuw}vsApohtqB
"1416351240,1416351241",1,1,y~v~rawImpcep_v]tgg}AivvpBlko|Ds~{pF|~_as@uoadiA
"1059988404,299392143",2,0,ek|_hyvIcq}_vlv]gscoFdytaFmy`cBdjabB
"1391460031,1089189873,299392143",3,0,{ybtryvIwkezklv]ifgdDn~{rDc}~eE`knvE_h`eBfufdBysqf@h{hm@akwwGdhywH
"1059988404,299392143",1,0,{ybtryvIwkezklv]ly`cBejabBfscoFeytaF
"816227969,816227971",2,0,{ybtryvIwkezklv]irliK_siqJi`bdByvvfB
"816227969,1336943514",2,0,{ybtryvIwkezklv]biraGbcckFb~qy@fhe|@
4257259,2,0,__dgsxrIkayxvyw]guuKs|{~L
4257259,1,0,guzssxrI__vxdzw]fuuKr|{~L
1516695879,2,0,guzssxrI__vxdzw]nxtlD_wjF
1516695879,1,0,guzssxrI__vxdzw]orhypC|}`kD
4257259,1,0,guzssxrI__vxdzw]ivuPwkedSwismpChqpjEpm`EjxudR
2631259,2,0,gu{smjrI}funsy{]_j{}Fatd}Ik|{`Ac}iiB
"1006868256,954782756,975124070,975124074,954648754",4,1,gu{smjrI}funsy{]dq}wG_~}eDfw~yHorh}DdlzlMatcfGjmx{Dm_ciBl|`bFu|{tCroa~SkfgnJl{wvKyqpvG
"954648754,975124076,827537933",1,0,gu{smjrI}funsy{]ipozDzrk`C_i~aKt_ulGskhfK~zv}Geikhf@powk\
2631259,1,0,s}ttwjrIczewaz{]a~ipiAsl|yfB
2631259,1,0,s}ttwjrIczewaz{]j|{`Ab}iiB~i{}F`td}I
1515720987,2,0,s}ttwjrIczewaz{]nvvuB}{prAj`lsA_okl@
"1515720987,1515720989",2,0,s}ttwjrIczewaz{]irdlC`iclBcun`A~loh@
"954782754,1374513414,827537935",5,0,wdk{}grIyf}ac{{]vff{Ew}c|B`pi|Akzxh@`v{yE}pajEbxp{EmbviC
"1006868256,954782756,975124070,975124074,954648754",1,1,wdk{}grIyf}ac{{]m{wvKxqpvGsoa~SjfgnJm|`bFt|{tCkmx{Dl_ciBelzlM`tcfGgw~yHnrh}Deq}wG~}}eD
"1131416608,1131416609",5,0,wdk{}grIyf}ac{{]{`geBmi`fEgj_`@uhscA
"1131416608,1131416610,1131416611,1131416615",5,0,wdk{}grIyf}ac{{]xxy~Ax~izD`pwv@zphkBtzcXfuqt@bhuV|zxp@vecU|pxh@hjqvEabfxB
"954648754,975124076,827537933",1,0,kgacslrIyebt`x{]dikhf@qowk\rkhfK_{v}G~h~aKu_ulGhpozD{rk`C
"949246251,949246250,954782755,827537933",4,1,kgacslrIyebt`x{]sp{cQ`yn}KshxwLd|k{Hoz``i@zi`d]yzdoRrtx~Lcu`qGfxudE
954648757,2,0,kgacslrIyebt`x{]q~y{Eo|geHeaUu~KmqlzB{{hpD
23235776,5,0,w{jjfgrIivu~r{{]byuvBx_dbIpbxlAbzkeE
"975124064,975124065,954782754,827537936",6,0,w{jjfgrIivu~r{{]vtf{KiscmF|vk|H_w}nDd~ww`@gibjSrvlhFs{{jCzck`E}siuA
"954782754,1374513414,827537935",1,0,w{jjfgrIivu~r{{]cxp{ElbviCav{yE|pajEapi|Ajzxh@wff{Ev}c|B
23235776,6,0,a~zd`grIkzcub{{]`g_gSb`~vx@
1131418864,5,0,a~zd`grIkzcub{{]grxnCtkiuA
23235776,1,0,a~zd`grIkzcub{{]qbxlAczkeEcyuvBy_dbI
"1515070688,1515070687",5,0,a~zd`grIkzcub{{]zpnmCuarsAxzei@yugU
82965853,6,0,krcm`erIm~cj{|{]{xm|DqdocL
827537936,6,0,krcm`erIm~cj{|{]ljhxE_xpdC
"827537936,975124065,954782754,975124064",1,0,krcm`erIm~cj{|{]{ck`E|siuAsvlhFr{{jCe~ww`@fibjS}vk|H~v}nDwtf{KhscmF
4257257,5,0,}{qmicsIyq_om_x]vikNrhslJ
771096821,5,0,}{qmicsIyq_om_x]ryc{MlogwErthqIuqyV
771096825,5,0,}{qmicsIyq_om_x]dqisJcvpoEzxhrDymqY
4257257,1,0,eqe~hcsIehkab_x]wikNshslJ
4257257,6,0,eqe~hcsIehkab_x]la}a@n_diY||c[|rwhT
"1516695884,1516695885",6,0,eqe~hcsIehkab_x]hs~rBw_|DjjtsBmq|D
"1517325488,1517325487",6,0,eqe~hcsIehkab_x]unesCxacTuwmd@~wpU
771096821,1,0,ukc_pbsIatqng_x]sthqItqyVsyc{MmogwE
"771096825,771096821",5,0,ukc_pbsIatqng_x]hof{EcbqR~}w}Fm_tqEq_pyFgd~qE}qhfNbdsL
"771096824,771096826,771096823",5,0,ukc_pbsIatqng_x]uvzKinwsEsp|fFnx|L{y_Q{lvcF
437701279,5,0,{o}exbsIwwczt_x]wnnR}yz}L
"771096824,771096826,771096823",1,0,{o}exbsIwwczt_x]zy_QzlvcFrp|fFox|LtvzKhnwsE
"771096825,771096821",1,0,{o}exbsIwwczt_x]|qhfNcdsLp_pyFfd~qE_~w}Fl_tqEiof{EbbqR
771096825,1,0,{o}exbsIwwczt_x]{xhrDxmqYeqisJbvpoE
9709379,1,0,ul`housIgdvw|ww]ddiyDlqijNvdyaP`feb^
129375495,1,0,ul`housIgdvw|ww]jhhuGotbvAlpxki@c~q}Jn|afQetoqCx{lwSkrigA|}gd`@gpzyAxrtti@_vztAfcogs@qhg`A`rfvt@sdqj@fljgq@k`oq@
"404014016,129375494,129375495",1,0,ul`housIgdvw|ww]mpzm}@rtjjQsokdRh{uvDs||sTztinEe~sibJjz}bkB
"1485868487,1485868486,129375495",1,0,g`kbmksIgzix|xw]|bu`nEgkzqHbg|e[of}h@hhv_JgdlP
129375495,1,0,g`kbmksIgzix|xw]gljgq@j`oq@arfvt@rdqj@gcogs@phg`Ayrtti@~uztA}}gd`@fpzyAy{lwSjrigAo|afQdtoqCmpxki@b~q}JkhhuGntbvA
568575661,1,0,g`kbmksIgzix|xw]nbgm@`e~xJ`yaOl``gAdwqVhsbhA
129375497,1,0,qk{{yctIaajarsw]lbzhDlwboQbkpcCxv`kM
"404014016,129375494,129375495",1,0,qk{{yctIaajarsw]d~sibJkz}bkBr||sT{tinErokdRi{uvDlpzm}@stjjQ
404014016,4,0,qk{{yctIaajarsw]w|_{dBbk__^weywuAtdxjY
4376579,5,0,qscqqrpIwaapm|y]couQl{k_K
4376579,1,0,uczcrrpIietoa|y]bouQm{k_K
"1344459970,1346432773",5,0,uczcrrpIietoa|y]usr{Ino`gAsodm@r|_Z
"1344459970,1346432772",5,0,uczcrrpIietoa|y]r|{~AaabT|domAq}{I
1285025644,8,0,mehs~bqIeqtwxc{]iml~Age|nH
1285025644,1,0,wsuracqImwqgbd{]hml~Afe|nH
1285025644,8,0,wsuracqImwqgbd{]ubhq@q~}mF
"1327443732,634363140",8,1,wsuracqImwqgbd{]b{qtAc|iaHvzbuB{xxmKtm{mAmiqyC
"1327443731,1327443732",8,0,wsuracqImwqgbd{]{ffiBzoofJoyew@j|g~D}}mlAdbh`H
"1327443733,1327443734",8,0,wsuracqImwqgbd{]p}jvFbcjmGrytoGhlitGbuvmDfsp_E
"634363123,1327443734",8,0,wsuracqImwqgbd{]s_g~EmgipDqm`vFgstkEgey}BcamaB
100009526,4,0,}ju}{crIinrbsvz]ni_rHw|qbC
100009526,1,0,m`ujrcrIalefwvz]oi_rHv|qbC
1513902793,4,0,m`ujrcrIalefwvz]_ctkCmpo_I
100009526,4,0,m`ujrcrIalefwvz]d_vgRiyjaHhunaI{xc^tlnjFdf{{BxvjiDnmdiFkvukFnt|nH
1339818153,1,1,m`ujrcrIalefwvz]~}rko@l}fklBf`g|k@f|roeAzg`|Dj_lb@
222742862,2,0,kejgk|qI_q~m|sz]omloF_sqgG
222742862,1,0,{swwr|qI_eqvdtz]nmloF~rqgG
"1055909235,222742861,222742862",1,0,{swwr|qI_eqvdtz]go}jFekysBkzmcR_lccZmksaEciebF
"1339818157,1339818158",3,0,{swwr|qI_eqvdtz]faxfAiad|@bldaHafuaG
"1339818153,1339818158",2,1,{swwr|qI_eqvdtz]sooo@hznh@ubv~Mrrf~K
954782771,3,0,cwsyr~rImynhml{]kkskB`y`u@
4592636,3,0,cwsyr~rImynhml{]`my_E~luhKfp`y@th~tB
"1416630852,954782766,977103794,954782771,954782744",3,0,cwsyr~rImynhml{]dhaqFie`xBtaaxD_e{{A`{}pIwvygD~xveJgfprD|_v{Byso}@b`_jHsadwC~|wfE}mvdBncj{G_ev`EtkxkFib~qB
954782771,1,0,ochfv~rIk_mrkl{]jkskBay`u@
975124087,3,0,ochfv~rIk_mrkl{]g}uhDuw_hK
"954782745,975124086",3,0,ochfv~rIk_mrkl{]ulrbDvcdqAebzvAl{wj@
4592636,4,0,yww~j~rIwayh}k{]vwgjA|_~xCf~k~U`zloo@
4592636,1,0,yww~j~rIwayh}k{]gp`y@uh~tBamy_E_muhK
"1515821893,1515821894",3,0,yww~j~rIwayh}k{]_c~_Fhxt|Bax`o@t_oiC
"1515942088,1515911272",3,0,yww~j~rIwayh}k{]p_o`Ekpkv@xpad@qiuI
741737883,2,1,}cd}k|rImt{krm{]avy}AojanDwjaiC_bkpB
"975124085,954782766",2,1,}cd}k|rImt{krm{]tbptYurtrKd~hcJgymgD
"1416630852,954782766,977103794,954782771,954782744",1,0,}cd}k|rImt{krm{]ukxkFhb~qBocj{G~dv`E_}wfE|mvdBc`_jHradwC}_v{Bxso}@_yveJffprDa{}pIvvygDuaaxD~d{{AehaqFhe`xB
495724026,5,0,ak`~sesIuk}vab{]xquvGytzrA
724460083,5,0,ak`~sesIuk}vab{]~`db[~}eh|A
4255962,5,0,ak`~sesIuk}vab{]mcavs@obaaaE{_myAijrzI
495724026,1,0,gxifkesIoayjdb{]yquvGxtzrA
"4255960,495724025,495724026,1177427781",5,0,gxifkesIoayjdb{]rsb|GyfzsAnqelxBqolyc@tpeiGqjodCdiv[g_pQ
"1517306827,1517306877,1517306875",5,0,gxifkesIoayjdb{]{xgWsz|aBc~fGqhh]gpvbAw|yeF
"1517306827,1517306876",5,0,gxifkesIoayjdb{]zmaGxbnkAorqC|dd`@
724460083,1,0,ai{zwdsIulvmd_{]_adb[_~eh|A
1145643041,4,0,ai{zwdsIulvmd_{]_tpeH|fsvA
"724460083,207106607",1,1,ai{zwdsIulvmd_{]r`f~c@lyww|BlgchPf}gms@~alo@jw`zEsndFnuniDcaw}@ls|xBqdz~Ctrm_BiokbaAxodnV
4255962,2,0,kppokgsIozrtnh{]ccq`Cky`aG
4255962,1,0,kppokgsIozrtnh{]z_myAhjrzIlcavs@nbaaaE
"1433208880,1433208882",2,0,kppokgsIozrtnh{]h}tpEgyhuAhhzzBywlj@
"1433208881,1433208882",2,0,kppokgsIozrtnh{]odljDxdfdAmmmdBf|x~A
17926243,5,0,eo`vz}rIa`psr{z]uknct@sf{`vC
495298307,5,0,eo`vz}rIa`psr{z]eu{gFf~xpA
886364501,5,0,eo`vz}rIa`psr{z]pk{hApxbmE
17926243,1,0,{{ozo_sIuglui`{]tknct@rf{`vC
"3098816,1177427779",5,0,{{ozo_sIuglui`{]axzlIf}_tBaicyA|yaa@
"534676024,3100051,1177427780",5,0,{{ozo_sIuglui`{]uvxsGmcoeJa_gqFooo`U{hmtDkq}sO
