osmid,safety_tag_value,is_lit
"82965853,2592183",1,0
2592183,1,0
"1515720995,1515103751",6,0
"1515103752,1515103751",6,0
625129389,7,0
1020163495,1,0
"1020163493,1020163495",6,0
1515720988,6,0
1136273233,1,0
"1515103736,1515103735",6,0
"1515103734,1515103735",6,0
88692302,5,0
857665366,5,0
88692302,1,0
"2592182,88692302",2,1
"1515103745,1515103743",5,0
"1515103744,1515103743",5,0
1136273233,5,0
"1515103746,1515103748",5,0
"1515103746,1515103747",5,0
857665366,1,0
857665366,5,1
"1515103739,1515103740",5,0
"1515103738,1515103739",5,0
2876129,5,0
1515821886,5,0
"1515821901,1515821886",5,0
74167879,5,0
"74863209,886364501",6,0
2876129,4,0
2876129,1,0
1515821885,5,0
1443526075,3,0
1443526078,3,0
2876129,3,0
1443526075,1,0
1021480956,3,1
"1443526076,1443526077",3,0
"1253777515,1443526076",4,0
1443526078,1,0
"1443526076,1443526077",1,0
"1443526081,549399250",3,0
1515821903,3,0
"1516903638,1516903639",3,0
"1516903637,1516903638",3,0
670639403,1,1
"1384809369,1384809370,1447431780",8,0
"1447431785,1384809370,1447431781,1427219449",8,0
"1430642723,1430642724",1,1
"1430642721,1430642722,1430642723",7,1
"1430670720,1067121890",1,0
1087555788,5,1
"378392953,378392954,232390747",4,0
"1209427460,1087555788,1209427461",1,1
"1069301601,1069301602,47048979",6,0
253360360,6,0
"1069301601,1069301602,47048979",1,0
"1447462685,583191469",6,0
"6247747,534705580",7,1
"586151544,1432244678",6,1
1074324494,6,0
4367359,7,1
534705580,8,1
"6247747,534705580",1,1
1432244678,4,0
1427219479,5,1
"586151544,1432244678",1,1
"35740625,602799891",6,1
41383226,4,1
1074324494,1,1
3996990,1,0
"51960889,1447423850",6,0
534705580,1,1
1456259098,8,0
3996990,8,0
1456259098,7,0
1427219449,8,0
1314015699,7,0
"51960889,1447423850",1,0
1456259098,1,0
930438501,7,0
4367366,7,0
930438501,1,0
"225785483,1360623663",7,1
"1430362560,1360623663",7,0
1454772535,3,0
1300359915,4,1
"1454772536,997061585,642635290,1391198918",3,1
1454772535,1,0
"1374550279,591854191",5,1
"166369355,997061583",3,0
1009113820,4,0
1300359915,1,1
1300359916,5,1
"28509872,1300360958",1,1
253350832,2,1
"253350832,997061581,997061582",2,1
"1454772536,997061585,642635290,1391198918",1,1
"253353304,997061585,997061579",1,1
1394862731,8,0
18310162,8,1
"1384809357,1384809358",8,0
1394862731,1,0
"865065057,1394862729,1394862730,1394862731,18309854",1,1
1456259097,1,1
1456259097,8,1
18310162,5,0
557947571,6,1
18310162,1,1
"557947570,1442934956,1442934957,557947567",6,1
"1384809357,1384809358",1,0
"1384809360,1384809359",8,0
"1384809361,2372214",8,1
"1390839888,1378962197,1374550279",1,0
"1387555008,1374550281,1014958898,1452719226,1381737310,1381737311",6,1
"1014958898,1443534237",6,1
"1390839888,1378962197,1374550279",6,0
"591854191,1374550279",1,1
253350836,4,0
366238082,4,0
997061573,4,0
253350836,1,0
253350836,3,0
"1334003121,1334003122",4,0
"1334003121,1334003117",4,0
366238082,1,0
"366238082,1300359917",4,1
"642635293,1334003118",4,0
"642635292,642635293",4,0
"642635292,642635294",4,0
"1334003122,642635294",4,0
997061573,1,0
"253352352,997061573",4,0
857683150,5,0
857683150,1,0
"1442878891,1442878892",5,0
"1442878890,1442878891",5,1
1244933277,4,0
812922877,4,0
1319119750,4,0
"347140993,61940662",1,0
"4680765,1244933277,1244933278",4,0
1244933277,1,0
1069301610,4,0
1069301610,1,0
"816046665,1069301609,1069301610",1,1
"1442878892,1319119759",1,1
"1319119750,1319119759",4,0
27611873,3,0
1064384182,4,0
18640393,3,0
27611873,1,0
27611873,3,1
"1459145980,1459145981,1459145983",4,1
"1459145978,1459145981,1459145982",3,0
1064384182,1,0
"1064384182,4711479",4,1
"1459145980,1459145981,1459145983",1,1
"1459144848,1459145980,1459144846",4,1
"18640393,22597494",3,0
18640393,1,0
"1459145978,1459145981,1459145982",1,0
"1459145978,1459144847",4,0
435341781,3,0
435341781,4,1
477043927,4,1
435341781,1,1
21774789,3,0
"435341778,435341780,435341781,1064384183",4,1
107826470,4,0
435341781,4,0
281271324,1,1
281271325,1,1
477043927,1,1
435344046,3,0
6578395,3,1
435344046,4,1
435344046,1,0
6578395,2,0
6578395,1,1
"1240463936,58602804",3,0
6968349,4,1
435343836,5,1
435344046,1,1
18934343,4,0
18934343,1,1
265714879,4,1
878202932,4,0
265714883,5,1
4252413,3,1
4252413,5,1
22597466,1,1
22597462,1,1
265714879,1,1
857670366,1,1
4252413,1,1
22597479,1,1
"265714881,6578395",1,1
22597462,4,1
6578426,1,1
22597462,4,0
265714887,4,0
4264917,4,1
4081006,5,1
"224184412,49706311",1,0
"224184403,224184406",1,0
4081006,1,1
6578414,5,0
84105878,5,1
224184412,5,0
1093917018,5,0
"4264944,872361398",4,0
224184403,3,0
4281314,4,1
224184403,1,0
"224184409,224184403",3,0
4281314,4,0
4281314,1,1
853759108,4,0
224184409,2,0
"224184409,224184403",1,0
848458755,1,0
4264941,5,0
224184412,1,0
1064895263,5,0
4264941,1,0
972904527,5,0
"1315691393,1315691394,972904527",1,1
1093917034,5,0
972904528,4,0
1064895263,4,0
1064895263,1,0
4281314,1,0
8366027,4,0
722399396,4,1
8366027,1,0
853759111,4,0
"8366027,1377065157,1377065158",5,1
642417290,1,0
722399396,1,1
8366029,5,1
4252415,5,0
224182170,5,0
17940465,5,0
4252415,1,0
"909467161,4252415",5,1
"1428877936,1428877934",5,0
"1428877936,1428877937,1428877935",5,1
224182170,1,0
"224182170,2624003,1069301612",5,0
"1428877937,1428877938,1428877939",5,0
"1428877936,1428877937,1428877935",1,1
17940465,1,0
"1039149772,1039149773,1039149774,1039149775,1039149776,17940465",5,1
"1428877939,1428877933",5,1
"1428877937,1428877938,1428877939",1,0
1308796282,5,0
1308796282,1,0
1308796282,6,0
"1308796302,1308796303",6,1
"1308796300,1308796303",5,0
22813885,1,0
159483599,1,0
"1489789072,1489789074",1,0
"1467122499,1489759791",1,0
"1467122499,1489759790",1,0
116934738,5,0
1301576903,5,0
116934738,1,0
609585909,1,0
609585909,1,1
27420367,1,1
"156785187,297206311",1,1
369176445,1,1
"885707009,4276831",2,0
"885707010,885707007",3,0
"1227173739,885707007",3,0
"885707009,4276831",1,0
885707010,3,1
"885707010,885707007",1,0
"1459144840,1459144847",1,1
"1227173739,885707007",1,0
1227173739,3,1
"1459144843,1459144844",4,1
79813401,4,0
79813401,1,0
1459134698,4,0
1459134698,4,1
8375945,1,1
"8375945,1241347819",3,1
477043927,3,1
4711482,3,1
1241347819,2,1
"8375945,1241347819",1,1
"1241392032,1241392030,1241392031",2,0
6637097,1,1
6637097,3,1
886883642,3,0
"642417294,8260294",5,0
